city,latitude,longitude,c40,country,risk0,risk1,risk2,risk3,risk4,risk5,risk6
Columbus,39.9612,-82.9988,False,United States of America,2.0,,,2.0,,,2.0
Comas,-11.95,-77.0667,False,Peru,,,,2.0,,,
Cruzeiro do Sul,-7.62799,-72.6761,False,Brazil,,,2.0,2.0,,,
Cuenca,-2.90841,-79.0048,False,Ecuador,,,,3.0,,,
Culver City,34.02,-118.4,False,United States of America,2.0,,,2.0,,,
Curitiba,-25.4311,-49.2647,True,Brazil,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CÃ³rdoba,-31.4201,-64.1888,False,Argentina,,,,1.0,,,
Dalian,38.9389,121.567,True,China,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Dar es Salaam,-6.79235,39.2083,True,United Republic of Tanzania,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Degollado,20.4489,-102.132,False,Mexico,2.0,,,,,,
Denver,39.7376,-104.985,False,United States of America,2.0,2.0,,2.0,,,
Detroit,42.3314,-83.0457,False,United States of America,,,2.0,,,,
Dhaka,23.8103,90.4125,True,Bangladesh,2.0,0.0,2.0,2.0,0.0,0.0,0.0
"Dublin, CA",37.7,-121.93,False,United States of America,,,,2.0,,,2.0
Durban,-29.8587,31.0218,True,South Africa,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Durham, NC",35.994,-78.8986,False,United States of America,,,2.0,2.0,,,
Easton,40.6884,-75.2207,False,United States of America,1.0,,,,,,
Edmonton,53.5444,-113.491,False,Canada,,,,3.0,,,
Ekurhuleni,-26.1777,28.3462,False,South Africa,2.0,,2.0,2.0,,,
Emeryville,37.8313,-122.285,False,United States of America,,,,2.0,,,
Encinitas,33.0454,-117.293,False,United States of America,,,,3.0,,,
Evanston,42.0669,-87.6898,False,United States of America,1.0,,,2.0,,,
Fayetteville,36.0821,-94.1719,False,United States of America,2.0,2.0,2.0,2.0,,,
Ferrara,44.8357,11.619,False,Italy,2.0,,,2.0,,,
Flagstaff,35.1992,-111.631,False,United States of America,,,,3.0,,,2.0
Fort Collins,40.5853,-105.084,False,United States of America,2.0,,,2.0,,,
Fort Worth,32.7555,-97.3308,False,United States of America,,,,,,,1.0
Fortaleza,-10.7183,-48.3936,False,Brazil,,,,2.0,,,
Franco da Rocha,-23.3094,-46.732,False,Brazil,,,,2.0,,,
Frederikshavn,57.4427,10.521,False,Denmark,,,,2.0,,,
Fremont,37.5483,-121.989,False,United States of America,,1.0,,2.0,,,1.0
Fresno,36.7468,-119.773,False,United States of America,,2.0,,2.0,,,
"General Alvear, Buenos Aires",-34.978,-67.6955,False,Argentina,3.0,,2.0,3.0,,,
GoiÃ¢nia,-16.6869,-49.2648,False,Brazil,2.0,2.0,2.0,2.0,,,
Gretna,29.9164,-90.0542,False,United States of America,2.0,,3.0,3.0,,,
Guadalajara,20.6597,-103.35,True,Mexico,0.0,0.0,0.0,2.0,0.0,0.0,0.0
GuarujÃ¡,-23.9946,-46.2569,False,Brazil,3.0,,2.0,2.0,,1.0,
Guelph,43.55,80.25,False,Canada,2.0,1.0,2.0,2.0,1.0,2.0,1.0
GuimarÃ£es,41.4443,-8.29224,False,Portugal,2.0,,,2.0,,,
Hamilton,43.25,-79.8661,False,Canada,1.0,,,2.0,,,
Harare,-17.8284,30.9328,False,Zimbabwe,,,2.0,2.0,,,
Hayward,37.6689,-122.081,False,United States of America,,,,3.0,,,2.0
Ho Chi Minh,10.7626,106.66,True,Viet Nam,2.0,1.0,1.0,0.0,0.0,0.0,1.0
Hong Kong,22.2881,114.14,True,"China, Hong Kong Special Administrative Region",0.0,0.0,2.0,2.0,0.0,0.0,0.0
Honolulu,21.28,157.59,False,United States of America,,,2.0,2.0,2.0,,
Huntington Beach,33.6603,-117.999,False,United States of America,,,,3.0,,,
Hutt City,-41.2092,174.908,False,New Zealand,2.0,,,,,,
Hvidovre,55.6425,12.4754,False,Denmark,2.0,,2.0,,,,
Iasi,47.1,27.35,False,Romania,,,,2.0,,,
Ibadan,7.37753,3.94704,False,Nigeria,2.0,,,,,,
IbaguÃ©,4.44851,-75.24,False,Colombia,,2.0,2.0,3.0,,,
Ilha,-15.0364,-40.7323,False,Mozambique,2.0,,2.0,2.0,,2.0,
Independencia,-32.8421,-68.8154,False,Chile,,,,2.0,,,
Indianapolis,39.7676,-86.1785,False,United States of America,2.0,,2.0,2.0,,,
Iskandar,5.71447,100.992,False,Malaysia,,,,2.0,,,
JICOSUR,19.34,-104.38,False,Mexico,1.0,1.0,2.0,2.0,,1.0,
JIMAV,19.7682,-104.367,False,Mexico,2.0,2.0,2.0,2.0,,,
Jakarta,-6.1751,106.865,True,Indonesia,2.0,0.0,2.0,2.0,0.0,0.0,2.0
Johannesburg,-26.2041,28.0473,True,South Africa,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Juruena,-10.3178,-58.3589,False,Brazil,,,2.0,,,,
JuÃ¡rez,31.6904,-106.425,False,Mexico,,,,2.0,,,
Kansas City,39.1429,-94.573,False,United States of America,,,3.0,,,,
Kaohsiung,22.6297,120.344,False,"Taiwan, Greater China",,,,2.0,,,
Karachi,24.9108,67.1281,True,Pakistan,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Key West,81.78,24.5551,False,United States of America,,,,3.0,,,
Kisumu,-0.0917,34.7679,False,Kenya,3.0,2.0,,,,,
Kolkata,22.5726,88.3639,True,India,2.0,0.0,0.0,0.0,0.0,0.0,0.0
La Barca,20.2903,-102.546,False,Mexico,,2.0,2.0,2.0,,,
La Crosse,43.8014,-91.2396,False,United States of America,2.0,,2.0,,,,
LaGrange,40.0428,-91.4976,False,United States of America,2.0,,,,,,
Lagos,6.52437,3.3792,True,Nigeria,2.0,2.0,2.0,2.0,3.0,2.0,3.0
Lahti,60.9833,25.65,False,Finland,2.0,,2.0,2.0,,,
Lakewood,39.7047,-105.081,False,United States of America,2.0,,2.0,2.0,,,2.0
"Lancaster, PA",40.0379,-76.3055,False,United States of America,2.0,,2.0,,,,
Las Vegas,36.1699,-115.14,False,United States of America,2.0,2.0,2.0,3.0,,1.0,1.0
