Code,Agricultural water withdrawal as % of total renewable water resources,Agricultural water withdrawal as % of total water withdrawal,Dam capacity per capita,Dependency ratio,Flood occurrence (WRI),Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,Municipal water withdrawal as % of total withdrawal,National Rainfall Index (NRI),Rural population with access to safe drinking-water (JMP),SDG 6.4.1. Industrial Water Use Efficiency,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,SDG 6.4.1. Services Water Use Efficiency,SDG 6.4.1. Water Use Efficiency,SDG 6.4.2. Water Stress,Seasonal variability (WRI),Total internal renewable water resources per capita,Total population with access to safe drinking-water (JMP),Total renewable water resources per capita,Total water withdrawal per capita,Urban population with access to safe drinking-water (JMP),Country
TKM,106.4405410862,94.2977749159,971.6609175209,96.9956163798,1.8,3.0013593761,2.4,112.517666061,2.7008657079,71.38,34.6,27.4460244962,0.1354960581,17.9670517345,1.4367895365,143.5600206079,1.8,244.0224486758,60.4,4301.2213106454,4855.0914806292,89.1,Turkmenistan
TUV,58.62698873210837,52.66133321550623,865.3359071521943,0.0,2.7615229953386007,18.459815087805623,1.7964872191471397,60.38736721411876,28.878852496209063,1054.7293792433336,97.0,497.747562857535,1.3331569086136774,155.3317273384078,88.9856624082895,68.89920924224097,2.129478624750614,-1777.1669490800477,97.7,0.0,414.12805818396856,98.3,Tuvalu
UGA,0.4309484193,40.6593406593,1943.3417702725,35.1081530782,3.6,7.8492935636,1.7,1.0599001664,51.4913657771,1350.0,75.8,87.3684318178,0.0485132296,41.925957382,28.4657779257,5.8279963403,1.6,947.3702314119,79.0,1459.9218181502,15.4737137797,95.5,Uganda
UKR,1.8290734824,34.9237472767,1245.2585499514,68.5645823825,2.4,38.9651416122,1.3,4.9264034687,26.1111111111,1813.0,97.8,5.3846177163,0.0592900347,21.5643082674,7.7495107124,11.1881316403,1.2,1238.5443359198,96.2,3939.9646315795,206.3491289246,95.5,Ukraine
ARE,2208.0,82.8414207104,6.4371237761,0.0,1.2,1.7258629315,3.6,1708.0,15.4327163582,51.95,100.0,2099.2419402523,0.8809781299,361.6596596958,92.7737627503,1708.0,0.6,15.8107716257,99.6,15.8107716257,421.409766398,99.6,United Arab Emirates
GBR,0.8047619048,14.0498812352,79.0004582971,1.3605442177,3.4,11.9952494062,1.0,5.7272108844,73.9548693587,1082.0,100.0,465.1084996237,0.6620339037,356.7750047432,319.7364281786,14.3546462063,1.7,2173.0183919331,100.0,2202.9910594081,126.1849300695,100.0,United Kingdom
TZA,4.811467747,89.3518518519,1906.2944340686,12.7454035525,3.1,0.4822530864,2.7,5.384855095,10.1658950617,1114.0,45.5,533.9212135081,0.183338735,41.0834690238,6.9151704348,12.9632408102,3.2,1536.7632461994,55.6,1761.2404489478,94.8402460512,77.2,United Republic of Tanzania
USA,5.7412838058,39.6587814265,2263.6170017428,8.1785597915,3.1,47.1989016183,2.1,14.4801600448,13.1423169551,938.7,98.2,15.1152247648,0.2034232704,267.5601731997,42.378501264,28.1619842696,1.7,8668.5085904182,99.2,9440.6149268962,1366.6897379833,99.4,United States of America
URY,1.8408826945,86.6120218579,4991.4057039999,46.4576074332,3.0,2.1857923497,1.7,2.1254355401,11.2021857923,1550.0,93.9,152.9722146975,0.1452633376,86.3691536078,13.1447035342,9.7860962567,1.1,26828.5223856667,99.7,50107.0667550087,1064.9934048974,100.0,Uruguay
UZB,111.2338858195,92.2920203735,688.7374242349,80.0707403342,2.7,3.6162988115,2.2,120.5238387559,4.0916808149,188.8,80.9,9.7865766007,0.4524521075,13.8394522807,1.3377552584,168.9131058216,3.2,511.267519478,87.3,1529.1091601524,1842.9410585835,98.5,Uzbekistan
VUT,59.93875547531343,52.53513580546232,1730.4017430296253,0.0,2.5819225017451877,18.622383259566334,1.7389438124098535,61.01707261889802,28.842481923092038,1182.7482867448089,92.9,470.5504039881266,1.243340942744546,140.73510872008023,81.5661633837044,68.64136237051177,2.161991644022459,35025.0429056776,94.5,35025.0429056776,473.91422033543654,98.9,Vanuatu
VEN,1.2611320755,73.852110155,5360.9654204726,39.2452830189,2.7,3.5060968873,2.7,1.7072528302,22.6417929578,1813.0,77.9,102.8102661227,0.3021936107,25.30447213,9.5571900873,7.5403666667,2.3,27378.6391653168,93.1,45064.219744155,769.5370227903,95.0,Venezuela (Bolivarian Republic of)
VNM,8.7940551056,94.7823966841,472.6774176008,59.347147446,3.8,3.7474094843,0.7,9.2591503416,1.4701938315,1991.0,96.9,20.351487176,0.3736684004,83.8407909446,2.349447563,18.1303153792,3.2,3799.339725453,97.6,9345.8133606019,867.1187960573,99.1,Viet Nam
YEM,154.0476190476,90.7433380084,16.6158795572,0.0,2.9,1.8232819074,4.9,169.7619047619,7.4333800842,232.7,46.5,59.507185998,0.7041230967,47.0234110589,5.2193574301,169.7619047619,2.4,75.4450747461,54.9,75.4450747461,128.0769959381,72.0,Yemen
ZMB,1.0992366412,73.2824427481,6000.7005031982,23.4732824427,2.5,8.2697201018,2.1,1.5,18.4478371501,1065.0,51.3,57.6677805826,0.0317410069,43.2173662936,12.7648939827,2.8354978355,4.4,4758.6275192616,65.4,6218.2564092097,93.2738461381,85.6,Zambia
ZWE,13.85,82.9564852805,7019.2307921943,38.7,2.8,2.437782636,3.1,16.695,14.6057320835,722.5,67.3,49.2125225743,0.0502442289,27.1944875679,5.2133291721,31.3462260608,3.7,861.1609728309,76.9,1404.830298256,234.5434424453,97.0,Zimbabwe
