Code,Agricultural water withdrawal as % of total renewable water resources,Agricultural water withdrawal as % of total water withdrawal,Dam capacity per capita,Dependency ratio,Flood occurrence (WRI),Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,Municipal water withdrawal as % of total withdrawal,National Rainfall Index (NRI),Rural population with access to safe drinking-water (JMP),SDG 6.4.1. Industrial Water Use Efficiency,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,SDG 6.4.1. Services Water Use Efficiency,SDG 6.4.1. Water Use Efficiency,SDG 6.4.2. Water Stress,Seasonal variability (WRI),Total internal renewable water resources per capita,Total population with access to safe drinking-water (JMP),Total renewable water resources per capita,Total water withdrawal per capita,Urban population with access to safe drinking-water (JMP),Country
MNE,55.380317069985736,1.0565568676,1638.0825510746,22.46304133585826,3.5,39.0304536979,1.0,66.6782424740207,59.9129894344,1115.5913061900476,99.2,7.5428117953,45.8515970898,29.0762647855,20.8489013122,69.22491320770418,1.6,14296.317778527278,99.7,17270.658149956136,256.3886016225,100.0,Montenegro
MAR,31.5724137931,87.7768190969,504.7177228572,0.0,2.9,2.0324034129,3.1,36.4586206897,10.1907774902,287.9,65.3,123.0274495199,0.4263171604,54.5657492482,8.4352958172,50.7512120194,2.1,815.0358946024,85.4,815.0358946024,293.1599798827,98.7,Morocco
MOZ,0.4956241363,73.0482009504,2587.7525714843,53.8000921234,3.0,1.6972165648,3.5,0.6784891755,25.2545824847,1005.0,37.0,144.8743808063,0.0587466503,20.266404575,7.6199412205,1.7514863258,3.3,3500.9925994671,51.1,7577.9211699333,51.4153748656,80.6,Mozambique
MMR,2.532111663,88.555735908,290.9191834189,14.1291317006,3.2,1.492599891,0.8,2.8456071245,9.951664201,2329.0,74.4,49.5814956915,0.1689600536,8.8713182382,1.7725209707,5.8015013966,3.7,18785.1743163207,80.6,21876.0735606296,625.5118365237,92.7,Myanmar
NAM,0.5036331746,69.7916666667,294.8985550436,84.5652718617,2.1,4.8611111111,3.6,0.7063392633,25.3472222222,339.0,84.6,217.0511156879,0.0666925747,97.0755540015,35.2035981572,0.8615525672,2.5,2563.8539052781,91.0,16610.943077865,119.8684942727,98.2,Namibia
NRU,58.37096376721691,52.79448487250714,921.3145331477056,0.0,2.752630970589791,18.30022497144111,1.8073195987989372,60.48704176201387,28.905290962610962,1059.9512097359054,94.45968342625828,485.12471652203794,1.3354742823455243,146.171841752177,84.28271484071928,68.96789824430942,2.168663700778099,945.8053532583,96.5,945.8053532583,417.45730954517614,96.5,Nauru
NPL,4.4338725024,98.1352202251,3.0869245007,5.7088487155,4.5,0.310621137,1.0,4.5181255947,1.5541586379,1751.0,91.8,92.8276886232,0.606124211,80.0446938636,2.127185275,8.3118326623,4.1,7172.6663076956,91.6,7606.9347017034,343.6908637276,90.9,Nepal
NLD,0.0840659341,0.4758498429,542.495256104,87.9120879121,2.5,91.6866233322,1.0,8.7784615385,7.8375268249,893.1,100.0,8.9606208131,56.9757931362,455.7878542791,44.2093052189,15.1668881716,0.9,646.2473269595,100.0,5346.2278866649,944.4904683513,100.0,Netherlands
NZL,0.980733945,61.6612189963,3591.5733488954,0.0,1.7,22.7648529129,0.9,3.0198776758,15.5739280908,1154.0,100.0,28.5595695682,2.8766991094,160.7030088374,33.3031227785,8.0480847596,1.5,69544.3716485249,100.0,69544.3716485249,1106.1170548746,100.0,New Zealand
NIC,0.7202771699,76.7188916224,5012.7223115483,5.0510576222,3.6,4.7649876991,1.2,0.9380622417,18.5161206785,2013.0,69.4,41.0374052214,0.2147270018,26.1136198119,6.9553928445,2.6924284717,2.9,24465.7427916037,87.0,25767.2620451613,241.916563062,99.3,Nicaragua
NER,4.5110132159,87.7263121823,4.3348923281,89.7209985316,3.4,2.0560854418,1.9,5.131277533,10.2176023759,310.4,48.6,55.5353672827,0.0041959783,24.0610037427,3.6039932688,7.4539249147,3.6,162.019169923,58.2,1576.215067394,81.0512470338,100.0,Niger
NGA,1.9252271139,44.1683366733,265.447026195,22.7812718379,3.1,15.751503006,1.2,4.357791754,40.0801603206,1295.0,57.3,53.9138867763,0.2191090251,55.4563991969,30.8160380143,9.6682170543,3.6,1157.8364540187,68.5,1499.4244033491,65.3575102438,80.8,Nigeria
NIU,58.639306315998525,52.65797348837419,865.3385714623779,0.0,2.761127184481377,18.47997286693864,1.7924069514974503,60.37886953184945,28.86205448916789,1054.7293861991152,98.6,495.5209132380299,1.334050969005832,156.72592108498515,89.25270475621372,68.92828760210458,2.1168482286246917,-1777.0894835404454,98.5,0.0,414.12809149647677,98.4,Niue
MKD,5.1440266828,39.5443743342,1099.8580208608,15.625,3.3,27.12338496,1.3,16.3125,33.3322407058,621.5,98.9,9.5655214383,0.6827381135,21.9275616065,10.1734253341,25.266214908,1.6,2593.6649253889,99.4,3073.9732449054,399.8697832591,99.8,North Macedonia
NOR,0.2149872774,31.3949167658,6283.5822417276,2.7989821883,1.3,39.796373365,1.0,0.6847582697,28.8087098692,1414.0,100.0,101.3402935521,1.0772412747,305.818488608,128.7703217022,2.0464638783,1.6,72125.4696179956,100.0,74202.381046786,508.1258215601,100.0,Norway
OMN,114.7857142857,85.844017094,18.9415696084,0.0,1.9,7.2115384615,3.1,116.7142857143,6.9444444444,23.44,86.1,260.6077301181,0.9105014269,252.6789938665,37.1225900436,116.7142857143,0.5,300.0474932318,93.4,300.0474932318,401.2063623785,95.5,Oman
PAK,69.8541329011,93.9765603707,133.7537181105,77.7147487844,3.9,0.7631507223,2.4,81.0372771475,5.2602889071,355.6,89.9,34.3526678128,0.3003027431,16.9418660796,1.4355679232,122.6918593951,2.7,264.5423639079,91.4,1187.0737347724,882.3690301621,93.9,Pakistan
