city,latitude,longitude,population,country_code,c40,Population with at least some secondary education (% ages 25 and older),"Mean years of schooling, male (years)",Share of seats in parliament (% held by women),"Adolescent birth rate (births per 1,000 women ages 15-19)",Total population (millions),Sex ratio at birth (male to female births),"Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)",Private capital flows (% of GDP),"Life expectancy at birth, female (years)",Exports and imports (% of GDP),Human Development Index (HDI),Total unemployment rate (female to male ratio),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Inequality in income (%),Official entrance age to primary education (years),"Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, male (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, secondary, gender parity index (GPI)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)","Labor force, female (% of total labor force)","Mortality rate, under-5 (per 1,000 live births)",Percentage of enrolment in pre-primary education in private institutions (%),"Percentage of male students enrolled in primary education who are over-age, male (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Percentage of repeaters in primary education, all grades, female (%)","Percentage of students enrolled in primary education who are over-age, both sexes (%)","Population, female (% of total)","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, both sexes (%)","Unemployment, male (% of male labor force) (modeled ILO estimate)",Agricultural water withdrawal as % of total water withdrawal,Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,SDG 6.4.1. Industrial Water Use Efficiency,SDG 6.4.2. Water Stress,Total internal renewable water resources per capita,country
Yamoussoukro,6.8161,-5.2742,355573.0,CIV,False,26.78,6.36,13.277000000000001,117.62700000000001,25.717,1.03,0.575,3.6269002550049354,-3.785110806786924,59.119,45.597,0.5379999999999999,1.261,47.808,27.041,6,46.2927589416504,7.15897989273071,7.12679004669189,0.8872200250625609,0.7180200219154359,27.7570304870605,96.3685684204102,40.5160045737979,95.1,28.625249862670803,8.576193747326457,15.2114896774291,14.8318395614624,8.00412239626853,49.245815723814296,2.8,63.0333595275879,8.10000038146973,51.6351118761,20.82616179,1.1,1.381031614,36.5888403386,5.0875656743,3144.3516861606,Côte d'Ivoire
BouakÃ©,7.4137,-5.0149,715435.0,CIV,False,26.78,6.36,13.277000000000001,117.62700000000001,25.717,1.03,0.575,3.6269002550049354,-3.785110806786924,59.119,45.597,0.5379999999999999,1.261,47.808,27.041,6,46.2927589416504,7.15897989273071,7.12679004669189,0.8872200250625609,0.7180200219154359,27.7570304870605,96.3685684204102,40.5160045737979,95.1,28.625249862670803,8.576193747326457,15.2114896774291,14.8318395614624,8.00412239626853,49.245815723814296,2.8,63.0333595275879,8.10000038146973,51.6351118761,20.82616179,1.1,1.381031614,36.5888403386,5.0875656743,3144.3516861606,Côte d'Ivoire
Abington,40.1108,-75.1146,55573.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Alameda,37.766999999999996,-122.2672,77624.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Alexandria,38.8185,-77.0861,159428.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Amsterdam,42.942,-74.1907,21241.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Anchorage,61.1508,-149.1091,247949.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Arlington,32.6998,-97.125,398854.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Asheville,35.5704,-82.5536,312507.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Athens,33.9508,-83.3689,141532.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Atlanta,33.7627,-84.4224,5449398.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Aurora,39.7087,-104.7273,379289.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Austin,30.3004,-97.7522,1687311.0,USA,True,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Belgrade,45.7796,-111.1751,17743.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Benicia,38.0725,-122.1525,28240.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Berlin,41.6114,-72.7758,20519.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Bern,40.4005,-75.9933,6952.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Birmingham,33.5277,-86.7987,739573.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Blacksburg,37.23,-80.4279,91888.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Bloomington,40.4757,-88.9703,133846.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Bogota,40.875,-74.0293,8335.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Boulder,40.0249,-105.2523,124345.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Boynton Beach,26.5281,-80.0811,78679.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Breckenridge,39.4995,-106.0433,7818.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Bremen,33.7085,-85.1495,6945.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Bridgetown,39.1551,-84.6359,13824.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Bridgewater,40.5934,-74.6076,44726.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Cairo,30.8791,-84.205,9181.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Cambridge,42.3759,-71.1185,118927.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Chicago,41.8373,-87.6862,8604203.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
Chula Vista,32.6281,-117.0145,274492.0,USA,False,96.029,13.363,23.729,19.86,329.065,1.05,0.032,1.454,-1.445,81.405,26.389,0.9259999999999999,0.9670000000000001,46.349,27.144000000000002,6,102.401420593262,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,3.628222419343589,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,5.400000095367429,39.6587814265,47.1989016183,2.1,14.4801600448,15.1152247648,28.1619842696,8668.5085904182,United States of America
