city,latitude,longitude,population,Population with at least some secondary education (% ages 25 and older),Total population (millions),Sex ratio at birth (male to female births),"Foreign direct investment, net inflows (% of GDP)",Population ages 15?64 (millions),Inequality-adjusted education index,Private capital flows (% of GDP),"Life expectancy at birth, female (years)",Exports and imports (% of GDP),Total unemployment rate (female to male ratio),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Official entrance age to lower secondary education (years),"Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, lower secondary, male (%)","Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, male (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, secondary, gender parity index (GPI)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)",Internet users (per 100 people),"Labor force, female (% of total labor force)","Mortality rate, under-5 (per 1,000 live births)",Percentage of enrolment in pre-primary education in private institutions (%),"Percentage of male students enrolled in primary education who are over-age, male (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Percentage of students enrolled in primary education who are over-age, both sexes (%)","Population, female (% of total)","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, both sexes (%)","Primary completion rate, female (%)","Unemployment, male (% of male labor force) (modeled ILO estimate)",Dependency ratio,Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,SDG 6.4.2. Water Stress,country
Yamoussoukro,6.8161,-5.2742,355573.0,26.78,25.717,1.03,3.6269002550049354,14.25,0.24600000000000002,-3.785110806786924,59.119,45.597,1.261,47.808,12,46.2927589416504,63.3458099365234,7.15897989273071,7.12679004669189,0.8872200250625609,0.7180200219154359,27.7570304870605,96.3685684204102,21.88520842,40.5160045737979,95.1,28.625249862670803,8.576193747326457,15.2114896774291,8.00412239626853,49.245815723814296,2.8,63.0333595275879,57.045501708984396,8.10000038146973,8.6760161635,20.82616179,1.1,1.381031614,5.0875656743,Côte d'Ivoire
BouakÃ©,7.4137,-5.0149,715435.0,26.78,25.717,1.03,3.6269002550049354,14.25,0.24600000000000002,-3.785110806786924,59.119,45.597,1.261,47.808,12,46.2927589416504,63.3458099365234,7.15897989273071,7.12679004669189,0.8872200250625609,0.7180200219154359,27.7570304870605,96.3685684204102,21.88520842,40.5160045737979,95.1,28.625249862670803,8.576193747326457,15.2114896774291,8.00412239626853,49.245815723814296,2.8,63.0333595275879,57.045501708984396,8.10000038146973,8.6760161635,20.82616179,1.1,1.381031614,5.0875656743,Côte d'Ivoire
Abington,40.1108,-75.1146,55573.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Alameda,37.766999999999996,-122.2672,77624.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Alexandria,38.8185,-77.0861,159428.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Amsterdam,42.942,-74.1907,21241.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Anchorage,61.1508,-149.1091,247949.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Arlington,32.6998,-97.125,398854.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Asheville,35.5704,-82.5536,312507.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Athens,33.9508,-83.3689,141532.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Atlanta,33.7627,-84.4224,5449398.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Aurora,39.7087,-104.7273,379289.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Austin,30.3004,-97.7522,1687311.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
