,Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Share of seats in parliament (% held by women),Vulnerable employment (% of total employment),Urban population (%),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male","Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Infants lacking immunization, measles (% of one-year-olds)","Infants lacking immunization, DTP (% of one-year-olds)",Gross fixed capital formation (% of GDP),Inequality in education (%),Inequality in life expectancy (%),"Unemployment, youth (% ages 15?24)",Private capital flows (% of GDP),Exports and imports (% of GDP),"Unemployment, total (% of labour force)",Youth not in school or employment (% ages 15-24),Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Employment in agriculture (% of total employment),Employment in services (% of total employment),Working poor at PPP$3.20 a day (% of total employment),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Gross capital formation (% of GDP),Overall loss in HDI due to inequality (%),Inequality in income (%),"Gross domestic product (GDP), total (2017 PPP $ billions)",GDP per capita (2017 PPP $),Gross national income (GNI) per capita (constant 2017 PPP$),"Estimated gross national income per capita, female (2017 PPP $)","Estimated gross national income per capita, male (2017 PPP $)",Gender Inequality Index (GII),Inequality-adjusted education index,Inequality-adjusted life expectancy index,Life expectancy index,Income index,Education index,Human Development Index (HDI),Gender Development Index (GDI),"Human Development Index (HDI), female","Human Development Index (HDI), male",Inequality-adjusted income index,"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Expected years of schooling, female (years)","Expected years of schooling, male (years)",Total population (millions),Population ages 15?64 (millions),Population ages 65 and older (millions),Population under age 5 (millions),"Adolescent birth rate (births per 1,000 women ages 15-19)",Sex ratio at birth (male to female births),Young age (0-14) dependency ratio (per 100 people ages 15-64),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),HDI rank,Total unemployment rate (female to male ratio),Youth unemployment rate (female to male ratio),Coefficient of human inequality,Inequality-adjusted HDI (IHDI)
BDI,9.401,7.5,11.373,38.75,94.581,13.4,80.434,77.819,1.604,0.665989885879199,8.0,3.0,12.263,39.5,28.5,2.693,16.31616307562354,41.857,1.427,3.981,79.154,78.024,92.023,6.512,89.362,26.206,12.263,30.023,20.9,8.667,751.664,753.909,865.899,640.105,0.504,0.252,0.457,0.64,0.305,0.417,0.433,0.999,0.432,0.432,0.241,2.608,4.052,61.58,11.069,3.288,63.377,59.764,11.038,11.105,11.531,6.029,0.267,2.019,55.59,1.03,86.829,4.422,185.0,0.537,0.444,29.633,0.303
BEL,86.596,84.722,88.382,43.333,10.189,98.0,48.608,58.699,2.232,-5.386,4.0,1.0,24.116,8.18,3.6,15.678,0.294,163.293,5.589,8.714,53.562,50.569,0.961,78.194,-22.30410506215909,46.592,25.252,7.734,11.382,593.815,51707.792,52084.592,41948.319,62427.386,0.043,0.828,0.914,0.948,0.945,0.902,0.931,0.974,0.918,0.943,0.837,11.936,12.173,81.63,19.774,12.05,83.882,79.32,20.73,18.838,11.539,7.378,2.193,0.636,4.651,1.05,26.681,29.727,14.0,0.859,0.741,7.721,0.859
BEN,26.592,18.334,33.943,7.229,87.732,47.9,68.808,72.983,1.425,2.2412630396342585,29.0,16.0,25.173,43.7,34.9,4.397,8.628841000912686,63.681,2.232,14.564,70.868,69.285,38.578,42.429,67.495,55.815,25.63,37.064,32.0,38.794,3287.31,3254.246,2836.848,3672.963,0.612,0.269,0.418,0.643,0.526,0.478,0.545,0.855,0.502,0.587,0.358,2.405,5.508,61.77,12.615,3.826,63.324,60.201,11.442,13.764,11.801,6.435,0.385,1.874,86.096,1.04,77.399,5.987,158.0,1.096,1.124,36.867,0.343
BFA,8.884,6.079,12.28,13.386,86.419,30.0,58.308,74.826,3.024,1.6628704771276617,12.0,5.0,24.828,39.2,32.0,8.307,10.087797707140432,60.182,6.264,23.044,66.43,62.268,25.225,41.073,69.075,47.882,26.04,30.088,17.3,44.496,2189.631,2132.956,1540.669,2726.75,0.594,0.19,0.435,0.64,0.462,0.312,0.452,0.867,0.418,0.482,0.382,1.07,2.256,61.58,9.274,1.644,62.294,60.739,9.104,9.441,20.321,10.753,0.489,3.408,104.329,1.05,84.433,4.549,182.0,2.377,2.398,29.5,0.316
BGD,43.98,39.837,47.53,20.63,55.25,37.4,36.26,81.366,6.068,0.528,3.0,1.0,31.57,37.312,17.3,11.867,-0.261,36.759,4.19,26.142,58.993,56.521,38.577,40.164,42.612,20.656,31.57,24.367,16.557,775.077,4753.726,4976.209,2873.333,7030.604,0.537,0.332,0.669,0.809,0.59,0.529,0.632,0.904,0.596,0.66,0.492,5.66,6.949,72.59,11.598,6.219,74.595,70.877,11.976,11.236,163.046,110.228,8.446,14.419,82.962,1.05,40.255,7.663,133.0,1.877,1.499,23.723,0.478
BGR,95.498,94.439,96.426,25.833,7.794,75.3,49.239,61.983,3.448,2.214,7.0,6.0,18.254,6.099,6.1,9.868,1.27,123.723,4.34,15.782,55.367,52.964,6.393,63.464,-10.210727087307859,47.482,19.49,11.642,21.795,161.08,23091.342,23324.657,18453.147,28482.735,0.206,0.732,0.795,0.847,0.824,0.779,0.816,0.995,0.813,0.817,0.644,11.47,11.24,75.05,14.414,11.36,78.665,71.55,14.642,14.201,7.0,4.484,1.488,0.315,39.86,1.06,22.924,33.177,56.0,0.852,0.881,11.331,0.721
BHR,72.347,68.067,74.345,18.75,1.081,89.4,44.96,87.174,1.4543912777824746,6.606708888993545,1.0,1.0,24.203780872642707,22.7,5.5,4.625,-2.412441186028232,116.60313554857414,0.714,17.968,73.362,72.838,0.986,63.797,-4.382757561369118,19.784,30.803277887896126,16.4428662221039,19.880795930262554,73.895,45025.772,42521.705,19059.248,55564.603,0.212,0.594,0.833,0.881,0.914,0.769,0.852,0.922,0.806,0.874,0.7240758034212504,9.088,9.72,77.29,16.255,9.519,78.423,76.436,16.671,16.094,1.641,1.293,0.041,0.108,13.368,1.04,23.746,3.196,42.0,19.753,7.808,11.152249853707374,0.7513979273542177
BHS,88.438,88.018,90.982,21.818,14.066,83.1,68.086,81.581,3.1191419438383408,10.305914994198647,15.0,9.0,23.2680402169474,6.3,6.8,23.514,-5.55117228582089,114.66956105440501,10.36,22.859,74.559,66.835,2.138,83.646,0.19,48.153,24.541647783471756,14.573259146191159,28.876363881141533,13.937,35782.798,33747.213,27560.002,40294.938,0.341,0.693,0.773,0.83,0.879,0.74,0.814,0.9628078834647779,0.7945442682601067,0.8187980363659886,0.6621021726030458,11.689,11.377,73.92,12.899,11.437,76.081,71.659,13.241003059936673,12.573701937541811,0.389,0.274,0.029,0.027,30.001,1.06,31.339,10.624,58.0,1.084,1.358,13.631591453886818,0.7158966495593815
BIH,81.363,73.992,89.321,21.053,16.154,48.6,35.387,58.05,10.929,2.576,32.0,11.0,18.243196882550016,17.0,5.4,39.697,-2.035,95.881,18.425,21.175,46.395,37.847,15.383,52.353,0.145,37.925,21.328,14.487,20.2,49.168,14894.787,14871.811,10566.533,19356.565,0.149,0.59,0.835,0.883,0.756,0.711,0.78,0.937,0.753,0.803,0.603,8.854,10.858,77.4,13.8,9.818,79.857,74.893,14.079,13.521,3.301,2.248,0.568,0.138,9.642,1.07,21.575,25.257,73.0,1.253,1.259,14.2,0.667
BLR,92.217,87.238,92.465,34.94,3.287,79.0,57.738,71.759,2.271,2.019,2.0,2.0,27.007,3.7,4.4,9.707,-2.855,133.346,4.595,10.791,64.131,61.184,11.018,58.531,0.218,51.633,28.979,6.318,10.8,181.287,19149.638,18546.487,14911.384,22720.739,0.118,0.807,0.806,0.843,0.789,0.838,0.823,1.007,0.824,0.819,0.704,12.227,12.385,74.79,15.405,12.306,79.572,69.652,15.663,15.159,9.452,6.405,1.437,0.556,14.507,1.06,25.141,22.432,53.0,0.579,0.666,6.3,0.771
