,Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Share of seats in parliament (% held by women),Vulnerable employment (% of total employment),Urban population (%),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male","Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Infants lacking immunization, measles (% of one-year-olds)","Infants lacking immunization, DTP (% of one-year-olds)",Gross fixed capital formation (% of GDP),Inequality in education (%),Inequality in life expectancy (%),"Unemployment, youth (% ages 15?24)",Private capital flows (% of GDP),Exports and imports (% of GDP),"Unemployment, total (% of labour force)",Youth not in school or employment (% ages 15-24),Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Employment in agriculture (% of total employment),Employment in services (% of total employment),Working poor at PPP$3.20 a day (% of total employment),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Gross capital formation (% of GDP),Overall loss in HDI due to inequality (%),Inequality in income (%),"Gross domestic product (GDP), total (2017 PPP $ billions)",GDP per capita (2017 PPP $),Gross national income (GNI) per capita (constant 2017 PPP$),"Estimated gross national income per capita, female (2017 PPP $)","Estimated gross national income per capita, male (2017 PPP $)",Gender Inequality Index (GII),Inequality-adjusted education index,Inequality-adjusted life expectancy index,Life expectancy index,Income index,Education index,Human Development Index (HDI),Gender Development Index (GDI),"Human Development Index (HDI), female","Human Development Index (HDI), male",Inequality-adjusted income index,"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Expected years of schooling, female (years)","Expected years of schooling, male (years)",Total population (millions),Population ages 15?64 (millions),Population ages 65 and older (millions),Population under age 5 (millions),"Adolescent birth rate (births per 1,000 women ages 15-19)",Sex ratio at birth (male to female births),Young age (0-14) dependency ratio (per 100 people ages 15-64),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),HDI rank,Total unemployment rate (female to male ratio),Youth unemployment rate (female to male ratio),Coefficient of human inequality,Inequality-adjusted HDI (IHDI)
CHN,79.151,76.034,83.29,24.941,45.378,60.3,60.451,75.274,0.128,1.086,1.0,1.0,21.162708623768527,11.7,7.9,10.334,-0.809,35.68,4.32,17.887,67.987,65.05,25.363,46.436,5.207,45.589,23.775118758412795,16.032,27.4,22526.559,16116.704,16057.396,12632.669,19307.705,0.168,0.58,0.806,0.876,0.767,0.657,0.761,0.957,0.744,0.777,0.557,7.7,8.39,76.91,13.984,8.06,79.244,74.761,13.959,14.01,1433.784,1014.019,164.487,85.041,7.635,1.13,25.175,16.221,85.0,0.78,0.815,15.667,0.639
CIV,26.78,17.949,34.358,13.277,71.186,51.2,48.157,65.54,0.575,1.8671967809384071,24.0,2.0,22.937,45.609,33.3,5.138,3.7717267057381463,45.597,3.317,35.131,56.953,55.064,40.049,46.783,48.175,47.808,21.036,35.688,27.041,134.71,5238.261,5068.606,2561.016,7531.384,0.638,0.246,0.388,0.581,0.593,0.453,0.538,0.811,0.476,0.586,0.433,4.162,6.36,57.78,9.955,5.288,59.119,56.593,9.049,10.86,25.717,14.25,0.739,4.05,117.627,1.03,75.281,5.185,162.0,1.261,1.26,35.317,0.346
CMR,37.274,32.662,41.347,29.286,73.562,57.0,71.108,81.1,0.861,2.3999801774449807,40.0,25.0,24.23,31.717,33.5,5.819,-9.740032069085302,40.554,3.38,16.83,76.073,73.501,43.437,41.612,33.593,43.058,24.184,33.393,34.989,94.518,3652.687,3580.903,2972.627,4189.016,0.56,0.373,0.402,0.604,0.541,0.547,0.563,0.864,0.521,0.603,0.351,4.727,8.02,59.29,12.104,6.311,60.561,58.029,11.335,12.865,25.876,14.21,0.705,4.059,105.8,1.03,77.142,4.96,153.0,1.315,1.19,33.402,0.375
COD,50.666,36.73,65.813,11.987,79.674,45.0,60.722,66.261,3.852,-5.661080910915047,43.0,34.0,25.058,26.769,36.1,7.977,17.612599115237476,67.287,4.236,21.726,63.462,60.774,65.431,24.821,86.533,38.585,25.337,30.208,27.632,95.292,1097.949,1062.543,907.344,1218.288,0.617,0.363,0.4,0.626,0.357,0.496,0.48,0.845,0.439,0.52,0.258,5.275,8.375,60.68,9.73,6.76,62.233,59.147,8.643,10.817,86.791,44.247,2.618,15.503,124.22,1.03,90.231,5.918,175.0,0.679,0.609,30.167,0.335
COG,48.817,46.72,51.34,13.636,75.978,67.4,67.532,71.396,5.277376268116461,4.351268179141837,27.0,18.0,18.441,20.9,22.8,21.367,13.519105502275522,112.251,9.472,19.551,69.448,62.87,34.13,44.014,59.005,49.08,18.792,25.087,31.0,17.745,3298.068,2879.191,2499.845,3259.354,0.57,0.429,0.529,0.686,0.508,0.543,0.574,0.929,0.555,0.598,0.35,6.141,7.465,64.57,11.727,6.517,66.023,63.082,11.562,11.891,5.381,2.999,0.146,0.813,112.229,1.03,74.518,4.882,149.0,1.14,0.932,24.9,0.43
COL,54.744,55.742,53.018,19.565,47.057,81.1,57.349,80.902,2.091,4.476,5.0,8.0,21.578,18.595,10.7,19.035,-3.327,38.095,9.707,22.968,68.771,62.095,16.613,63.395,5.189,45.941,22.304,22.425,35.527,741.545,14730.885,14256.671,11593.681,17018.047,0.428,0.555,0.787,0.881,0.749,0.682,0.767,0.989,0.761,0.77,0.483,8.623,8.302,77.29,14.399,8.469,80.019,74.528,14.669,14.138,50.339,34.54,4.413,3.73,66.651,1.05,32.969,12.775,83.0,1.708,1.754,21.607,0.595
COM,51.479705867587,44.57747291966108,59.469607427966814,6.061,63.71,29.2,36.581,49.943,11.401,6.032461291923076,10.0,4.0,20.74839196715651,47.6,28.9,9.88,-2.991671163035626,77.41348125732836,4.336,27.248,43.281,41.405,50.375,36.594,29.309,37.473,19.12317918195187,45.307,56.0,2.622,3081.384,3099.446,2300.093,3884.777,0.6606386380365079,0.252,0.485,0.682,0.519,0.482,0.554,0.891,0.519,0.583,0.228,3.953,6.031,64.32,11.245,5.079,66.121,62.587,11.116,11.374,0.851,0.491,0.026,0.122,65.351,1.05,68.135,5.299,156.0,1.155,0.769,44.167,0.303
CPV,30.098,28.776,31.237,23.611,35.168,66.2,53.342,67.556,11.901,5.313,2.0,4.0,29.77474157910985,23.7,12.2,28.009,-3.905,116.215,12.249,30.894,60.455,53.049,11.46,66.549,10.935,47.071,35.296,21.088820911010636,25.493863141560684,3.944,7171.839,7019.168,5452.991,8573.226,0.397,0.429,0.716,0.815,0.642,0.562,0.665,0.974,0.655,0.672,0.47191859040282447,6.026,6.574,72.98,12.704,6.288,76.197,69.526,13.003,12.418,0.55,0.368,0.026,0.053,73.759,1.03,42.465,7.024,126.0,0.894,1.278,23.470478263947914,0.49553443750071896
CRI,54.443,55.418,53.337,45.614,21.056,80.1,48.145,76.245,0.896,4.058,5.0,4.0,16.119,11.589,7.1,30.503,-5.468,66.099,11.854,19.635,62.099,54.737,12.109,68.135,0.693,41.089,17.881,18.395,33.916,99.146,19642.418,18486.371,13476.279,23501.395,0.288,0.642,0.862,0.927,0.788,0.726,0.81,0.981,0.802,0.818,0.521,8.853,8.616,80.28,15.652,8.742,82.893,77.739,16.405,15.417,5.048,3.485,0.499,0.351,53.46,1.05,30.531,14.311,62.0,1.494,1.499,17.535,0.661
CUB,87.9,85.782,89.094,53.223,23.098,77.1,40.7,66.813,3.531325914579621,-0.8811003111103624,1.0,1.0,21.368121249879156,7.811,5.1,4.199,2.6121017770454955,78.75738779531773,1.638,22.09,53.581,52.703,17.508,65.614,0.82,43.184,22.121565220716032,11.352762016797397,19.7692768159529,473.8762948054832,8654.777453219664,8620.716,5714.231,11567.291,0.304,0.728,0.858,0.905,0.673,0.79,0.783,0.944,0.754,0.799,0.5508389211230496,11.245,11.799,78.8,14.281,11.791,80.779,76.84,14.706,13.879,11.333,7.751,1.764,0.587,51.592,1.06,23.456,22.758,70.0,1.145,0.895,15.065869119511973,0.6736805545102578
CYP,81.773,79.937,83.765,17.857,11.06,66.8,57.835,68.346,2.022,97.053,14.0,2.0,19.084,10.478,3.6,15.616,-23.039,142.643,7.274,10.788,63.059,58.472,2.071,81.501,1.0812636168773935,46.235,19.104,9.245,13.217,34.869,39544.682,38206.84,31880.87,44532.6,0.086,0.74,0.904,0.938,0.898,0.827,0.887,0.979,0.876,0.895,0.779,12.076,12.267,80.98,15.169,12.171,83.032,78.921,15.394,14.944,1.199,0.83,0.168,0.065,4.582,1.07,24.128,20.288,33.0,1.24,0.84,9.098,0.805
CZE,99.977,99.987,99.903,20.641,13.681,73.9,52.939,68.548,1.566,3.786,8.0,1.0,25.47,1.388,3.0,6.384,-3.203,144.876,1.933,5.819,60.559,59.388,2.718,59.994,-13.341018069108543,45.012,26.251,4.444,8.884,430.141,40314.229,38108.567,29480.479,47012.124,0.136,0.878,0.886,0.914,0.898,0.89,0.9,0.985,0.893,0.906,0.818,12.547,12.906,79.38,16.785,12.722,81.944,76.76,17.527,16.078,10.689,6.892,2.117,0.556,11.972,1.06,24.386,30.71,27.0,1.521,1.096,4.424,0.86
DEU,96.088,95.858,96.327,31.62,5.62,77.4,55.275,66.565,0.428,1.326,3.0,2.0,21.731,2.281,3.8,5.417,4.371,88.099,3.043,5.409,60.811,58.961,1.21,71.747,-5.404498537890916,46.677,21.551,8.237,17.656,4473.822,53815.365,55314.354,45277.165,65599.451,0.084,0.922,0.908,0.944,0.954,0.943,0.947,0.972,0.933,0.96,0.786,13.882,14.431,81.33,16.977,14.152,83.728,78.944,16.911,17.04,83.517,53.984,18.009,3.987,8.095,1.05,21.349,33.359,6.0,0.806,0.797,7.912,0.869
DJI,59.019395253594034,57.317164322960735,60.26647010422965,26.154,44.741,77.9,50.71,68.792,1.777,20.582592327160363,17.0,10.0,25.0,21.81172565258732,23.4,20.847,-25.878589819592285,298.266,10.295,33.176,60.243,54.041,33.122,53.808,-14.808136963791469,41.006,25.0,24.83682229792973,27.7,5.373,5519.333,5689.349,4150.928,7076.505,0.5649865980737258,0.16474317980803455,0.555,0.725,0.61,0.325,0.524,0.8632926104248636,0.48627684963870577,0.5510638772453516,0.441,3.7933658846548735,4.587490103615039,67.11,6.791,4.1,69.357,65.116,6.703,6.88,0.974,0.644,0.045,0.1,18.841,1.04,44.126,6.964,166.0,1.017,0.957,26.96570676932068,0.39161689836808034
DMA,61.32113858529759,59.102093625414106,63.84332115193072,25.0,30.763592634858743,70.8,52.02704736918484,72.82061296936155,8.251,9.09908560300754,8.0,1.0,23.638520563493653,18.314280768816587,12.670030161494529,16.85749228111164,-6.7935157748856625,139.787,7.790735737731843,18.967217347067546,62.72197072138589,58.155011440422655,17.78124689241274,61.70650545167395,2.5070813339098663,41.580501596443526,26.02901583024399,18.30986006888527,22.709295038113314,0.873,12155.559,11883.955,8594.921273327664,15099.827872840939,0.3199389480999346,0.5143296386061533,0.8126277549988584,0.896,0.722,0.632,0.742,0.9305475025481972,0.7112692171863675,0.7602283842790969,0.569900194692324,7.546438096927133,8.825955574315698,78.21,12.966,8.142,76.53532064943133,80.15503486836434,12.980795281798114,13.091617920058251,0.072,10.99461716334355,8.358491919110982,-7.123558812480482,47.1524604743769,1.0518616386622301,44.84202481455054,13.964866533781052,94.0,1.5653049397391834,1.3551060554415395,18.79736280333475,0.5987997205073293
DNK,90.949,91.152,90.884,39.106,4.895,88.0,58.248,66.285,0.385,-1.859,4.0,3.0,22.191,2.905,3.6,9.816,4.798,105.002,4.913,7.282,62.218,59.162,2.186,79.346,-7.1498241503485005,47.831,22.709,6.064,11.383,332.729,57184.193,58661.871,49296.295,68133.623,0.038,0.894,0.903,0.937,0.963,0.92,0.94,0.983,0.931,0.948,0.853,12.832,12.394,80.9,18.893,12.614,82.865,78.946,19.553,18.254,5.772,3.673,1.152,0.302,4.123,1.06,25.774,31.375,10.0,1.115,0.895,5.963,0.883
DOM,56.876,59.658,56.145,24.324,40.4,81.8,51.43,77.435,8.343,3.176,4.0,1.0,27.44,15.827,17.0,13.47,-5.856,52.96,5.845,25.053,64.321,60.562,9.021,71.118,2.843,42.621,27.346,21.296,30.37,197.801,18419.034,17591.065,12448.86,22739.558,0.455,0.56,0.691,0.832,0.781,0.666,0.756,0.999,0.759,0.76,0.544,8.845,8.315,74.08,14.223,8.124,77.381,70.991,14.986,13.456,10.739,6.98,0.784,1.007,94.26,1.05,42.633,11.229,88.0,1.971,2.08,21.066,0.595
DZA,38.92,39.08,38.9,21.549,26.993,73.2,14.591,67.404,1.054,-2.8556806732854554,20.0,4.0,40.454,33.7,14.1,29.506,-9.156165181620217,52.045,11.704,21.133,41.15,36.333,9.856,59.41,1.268,16.86,44.334,20.321,11.4,488.639,11349.701,11173.957,3295.548,18890.71,0.429,0.445,0.752,0.875,0.712,0.672,0.748,0.858,0.671,0.782,0.631,7.699,8.274,76.88,14.604,7.987,78.133,75.676,14.847,14.361,43.053,27.079,2.821,5.025,10.071,1.05,48.572,10.418,91.0,2.174,1.763,19.733,0.596
ECU,53.007,52.485,53.268,37.956,46.728,64.0,55.212,81.066,3.018,0.899,17.0,15.0,24.965,13.896,11.5,8.943,-2.956,46.74,3.968,18.871,68.038,65.338,29.202,52.477,7.813,42.094,24.955,18.841,29.897,197.631,11375.331,11043.983,7874.349,14210.947,0.384,0.605,0.776,0.877,0.711,0.702,0.759,0.967,0.743,0.768,0.498,8.732,8.854,77.01,14.601,8.907,79.838,74.282,14.895,14.307,17.374,11.279,1.281,1.662,79.261,1.05,42.678,11.356,86.0,1.51,1.559,18.431,0.616
EGY,72.959,73.507,72.535,14.933,20.721,42.7,21.933,70.858,8.837,2.972,5.0,4.0,23.028890614234154,38.1,11.6,31.053,-6.287,72.95766749143024,10.76,27.733,46.413,41.419,23.792,48.528,11.885,17.438,25.170139084719757,29.703,36.5,1180.89,11763.254,11466.145,4752.908,18039.47,0.449,0.383,0.707,0.8,0.716,0.618,0.707,0.882,0.652,0.739,0.455,6.78,8.082,71.99,13.326,7.434,74.35,69.742,13.314,13.338,100.388,61.125,5.297,12.804,53.819,1.06,55.568,8.666,116.0,3.059,1.549,28.733,0.497
ERI,57.20746075636625,53.1858290871679,61.48001262528509,22.0,86.383,40.7,71.459,85.474,7.348359554735244,-0.6682700291268695,1.0,3.0,25.802838047629873,22.090987813570393,21.4,8.763,12.472552395041,36.052374495261475,5.144,25.554,78.388,74.355,61.213,30.339,75.119,40.576,29.26127185902948,23.0639788124565,24.747983675338418,356.33715694149447,2528.3997220083793,2793.483,2275.146,3309.363,0.5860682684684049,0.12114216295338054,0.56,0.713,0.503,0.269,0.459,0.857116863691878,0.4208156942399599,0.48403517501622595,0.36302355669969644,3.397903253524965,4.551655521187541,66.32,5.005,3.9,68.555,64.153,4.572,5.438,3.497,1.885,0.158,0.491,52.553,1.05,77.136,8.354,180.0,0.933,0.92,30.58539440581842,0.3324978744740371
EST,100.0,100.0,100.0,29.703,6.149,69.1,57.102,71.008,1.73,9.232,12.0,8.0,26.094,2.281,3.6,12.56,-3.058,141.154,5.115,10.485,63.56,60.308,3.184,67.28,-2.643434604645371,48.991,28.055,7.063,14.784,48.7,36710.411,36019.267,27086.33,45984.267,0.086,0.862,0.871,0.904,0.889,0.882,0.892,1.017,0.896,0.882,0.758,13.572,12.68,78.75,15.989,13.143,82.711,74.358,16.795,15.226,1.326,0.842,0.265,0.069,7.698,1.07,25.908,31.459,29.0,0.945,0.941,6.888,0.829
ETH,17.194,11.476,22.574,37.286,85.971,21.2,73.441,85.755,0.553,-3.062986217426552,42.0,20.0,35.192,43.5,24.9,3.231,-5.944121074515756,28.742,2.081,11.109,79.55,77.895,66.129,23.679,63.015,57.2,35.192,28.247,13.352,248.782,2219.709,2206.534,1641.73,2770.741,0.517,0.193,0.538,0.717,0.467,0.341,0.485,0.837,0.442,0.527,0.405,1.698,4.321,66.6,8.813,2.883,68.536,64.694,8.312,9.314,112.079,62.929,3.941,16.561,66.727,1.04,71.841,6.263,173.0,1.845,1.761,27.251,0.348
FIN,100.0,100.0,100.0,47.0,9.585,85.4,55.542,62.773,0.335,3.081,4.0,2.0,23.666,2.239,3.0,16.296,-11.717,79.467,6.595,8.201,59.081,55.185,3.606,74.206,-30.537541427060493,48.965,24.041,5.33,10.618,268.404,48621.089,48511.398,40758.755,56485.029,0.047,0.907,0.924,0.952,0.934,0.927,0.938,0.99,0.932,0.942,0.835,12.991,12.648,81.91,19.397,12.824,84.718,79.091,20.203,18.63,5.532,3.421,1.225,0.271,5.813,1.05,25.898,35.802,11.0,0.916,0.769,5.286,0.888
FJI,78.683,79.38,78.189,19.608,43.141,56.8,38.475,76.471,5.177,5.827,4.0,1.0,22.40928641778614,14.864809462737643,14.9,14.825,-6.792,87.04834227007113,4.101,20.583,57.643,55.279,36.26,50.414,7.225,33.517,21.613780223271245,17.910530937683944,22.844329673869836,12.329,13853.429,13009.073,8316.975,17576.7,0.37,0.7002594872295075,0.621,0.73,0.735,0.764,0.743,0.9596480478407777,0.7286587636320381,0.7523992737345007,0.5614302112434589,10.996,10.808,67.44,14.427,10.902,69.331,65.698,14.664679993887496,14.198192557713671,0.89,0.579,0.05,0.09,49.353,1.06,45.011,8.643,93.0,1.52,1.938,18.874906578499647,0.6020298991275517
FRA,84.021,81.699,86.771,36.865,7.428,80.7,50.752,59.906,0.974,2.471,10.0,1.0,23.626,9.486,3.8,19.145,-3.663,64.523,8.427,10.165,55.126,50.48,2.443,77.471,-15.92186203387947,48.643,24.157,8.99,13.493,3097.062,46183.522,47172.537,39477.53,55375.446,0.049,0.74,0.927,0.964,0.93,0.817,0.901,0.987,0.895,0.907,0.804,11.269,11.714,82.66,15.642,11.48,85.486,79.716,15.97,15.319,65.13,40.254,13.281,3.669,4.727,1.05,28.803,32.993,26.0,0.986,0.86,8.926,0.82
GAB,58.82,66.237,50.637,17.949,31.464,89.7,43.526,61.833,0.111,3.6392964783104844,38.0,23.0,22.419,23.5,22.8,35.952,-9.383146860793147,72.939,20.004,30.312,52.895,42.314,32.831,56.415,5.254,27.822,22.418,22.617,21.2,32.306,14869.791,13929.806,9924.83,17790.664,0.525,0.498,0.552,0.715,0.746,0.65,0.703,0.916,0.67,0.731,0.588,7.766,9.638,66.47,12.977,8.698,68.669,64.382,12.593,13.361,2.173,1.288,0.077,0.316,96.227,1.03,62.723,5.98,119.0,1.994,1.344,22.5,0.544
GEO,97.952,97.228,98.551,14.765,49.084,59.0,57.423,80.841,12.727,7.152,1.0,1.0,23.692,4.141,7.9,30.49,-9.544,116.868,14.398,25.906,68.33,58.492,41.818,44.306,12.103,43.861,26.808,11.823,22.524,55.859,15014.288,14428.8,9475.462,19863.7,0.331,0.826,0.762,0.827,0.751,0.862,0.812,0.98,0.8,0.817,0.582,13.164,13.096,73.77,15.275,13.133,78.14,69.349,15.53,15.049,3.997,2.594,0.602,0.274,46.408,1.07,30.862,23.204,61.0,0.824,1.206,11.521,0.716
GHA,63.08,55.74,71.635,13.091,68.701,56.7,63.629,71.891,5.256,8.992597877435703,8.0,3.0,19.585,35.102,24.2,9.157,-6.593439461260125,71.378,4.331,30.861,67.798,64.862,29.265,48.959,21.463,51.173,26.437,27.987,24.142,164.641,5412.628,5268.92,4073.324,6432.384,0.538,0.365,0.514,0.678,0.599,0.563,0.611,0.911,0.582,0.639,0.454,6.586,8.094,64.07,11.483,7.306,65.177,62.991,11.376,11.585,30.418,18.11,0.942,4.135,66.611,1.05,62.758,5.202,138.0,1.059,0.965,27.815,0.44
GMB,36.84,31.464,44.353,10.345,72.051,61.9,51.179,67.989,15.618,11.449634476939643,15.0,7.0,18.497,47.658,28.5,12.465,-3.6691141400844955,65.484,9.056,33.149,59.401,54.021,27.121,57.194,31.629,39.116,18.497,32.46,17.467,5.181,2206.913,2167.883,1145.465,3206.957,0.612,0.213,0.463,0.647,0.465,0.406,0.496,0.846,0.448,0.53,0.384,3.3,4.614,62.05,9.912,3.922,63.481,60.656,9.977,9.846,2.348,1.252,0.06,0.401,78.185,1.03,82.772,4.803,172.0,1.867,1.891,31.208,0.335
GNQ,56.66316889875567,48.7326932015935,64.17479556238256,19.186,77.29,72.6,54.775,67.073,5.507305383488169,8.564178774673659,47.0,23.0,13.242,26.9488368396556,34.6,12.306,-7.448061774719612,107.381,6.433,24.916,61.967,57.981,42.357,38.577,24.944,36.562,13.207,29.080459934711165,25.499870415616584,25.164,18558.004,13944.132,9949.425,17135.132,0.5791698041917385,0.31194675871271116,0.39,0.596,0.746,0.467,0.592,0.9013201851448774,0.5686119629533352,0.6137194332574522,0.5015511952749483,4.195,7.627,58.74,9.735,5.911,59.918,57.743,8.902608499738383,10.52253624081987,1.356,0.822,0.033,0.195,155.622,1.03,60.961,3.999,145.0,0.94,0.92,28.577522405871775,0.408284741993281
GRC,64.828,62.011,73.2,20.667,25.796,79.4,44.168,59.779,0.322,2.198,3.0,1.0,11.419,11.068,3.5,35.11,10.254,74.384,17.238,13.865,51.767,42.844,11.982,72.804,0.7661531293746933,41.561,12.543,10.923,17.802,324.861,30314.566,30154.634,24061.739,36475.589,0.116,0.755,0.924,0.958,0.862,0.849,0.888,0.963,0.869,0.902,0.709,10.291,10.788,82.24,17.908,10.552,84.672,79.803,17.451,18.071,10.473,6.72,2.298,0.42,7.223,1.07,21.659,34.198,32.0,1.629,1.048,10.79,0.791
GRD,0.0,0.38082324253408295,-0.5521770987776229,39.286,42.98942441121689,36.4,51.128198162082626,77.10111938431356,3.945,3.5997142684623853,6.0,4.0,24.200721740613922,25.457867006004072,11.2,20.1203743068355,-2.68394087803226,110.048,8.851398725888565,23.21302349214036,63.91097831877157,58.891280597561625,33.26775598529845,48.3844539466038,22.495736766737537,38.368942262767824,28.099687136143086,20.612823000378217,23.744317765528663,1.931,17241.532,15640.886,11595.474536269408,19528.17295188782,0.2946214413075811,0.7003139080583026,0.716,0.806,0.763,0.77,0.779,0.9620357071801596,0.7629297181666073,0.7894343554761778,0.6021175576909594,8.756475742598907,9.23019229894078,72.4,16.87,9.032,74.953,70.073,16.987,16.232,0.112,0.075,0.011,0.009,29.177,1.05,35.607,14.534,74.0,1.9781253752918164,1.559006807585416,15.586742122497443,0.666112487135422
HRV,95.845,94.623,97.42,20.53,7.271,57.2,45.446,57.49,6.675,1.937,7.0,2.0,20.673,4.674,4.3,17.816,-0.595,102.85,6.935,12.256,51.182,47.632,5.963,66.546,-10.104424807817196,46.269,22.802,7.991,14.672,115.958,28508.517,28069.848,23775.241,32688.748,0.116,0.767,0.861,0.9,0.852,0.805,0.851,0.99,0.848,0.857,0.727,11.099,12.173,78.49,15.227,11.449,81.59,75.296,15.95,14.535,4.13,2.667,0.862,0.187,8.681,1.06,22.55,32.303,43.0,1.586,1.539,7.882,0.783
KHM,22.42,15.08,28.221,19.251,50.279,23.8,76.305,88.871,5.814,13.681,16.0,6.0,23.358,27.3,18.1,1.097,-13.259,123.557,0.677,17.341,82.313,81.756,32.297,38.702,36.831,46.803,24.233,20.034,14.3,72.356,4388.801,4246.178,3696.947,4822.151,0.474,0.352,0.628,0.766,0.566,0.484,0.594,0.922,0.57,0.618,0.485,4.232,5.784,69.82,11.468,4.966,71.909,67.538,11.005,11.931,16.487,10.582,0.778,1.78,50.177,1.05,48.454,7.35,144.0,1.526,1.199,19.9,0.475
SLV,42.819,39.948,46.384,30.952,34.191,72.7,45.32,75.74,20.93,2.682,18.0,18.0,17.795,29.1,12.5,9.55,-2.589,77.179,4.11,27.297,59.097,56.668,16.281,61.586,4.412,48.703,19.105,21.397,21.811,56.636,8775.987,8359.115,6471.33,10500.934,0.383,0.393,0.718,0.82,0.669,0.555,0.673,0.975,0.662,0.679,0.523,6.6,7.308,73.32,11.691,6.907,77.842,68.455,11.516,11.691,6.454,4.174,0.547,0.578,69.459,1.05,41.529,13.096,124.0,0.796,1.286,21.137,0.529
SWZ,33.82,31.34,33.88,12.121,32.637,24.0,48.527,56.78,2.694,2.905,19.0,4.0,16.953790179167605,24.1,25.1,46.546,-0.495,81.1272414022226,22.083,35.963,52.505,40.91,12.458,63.75,13.479,47.986,16.123053981518236,29.296,37.9,9.975,8688.101,7919.058,7011.291,8863.203,0.567,0.423,0.463,0.618,0.66,0.557,0.611,0.996,0.609,0.611,0.41,6.34,7.156,60.19,11.843,6.855,64.845,56.007,11.805,11.881,1.148,0.668,0.046,0.144,76.695,1.03,65.056,6.902,138.0,1.147,1.119,29.033,0.432
TCD,6.059,1.738,10.527,14.881,93.024,23.3,63.944,77.547,6.648334474189858,3.767051782196642,59.0,35.0,21.413,43.0,40.9,3.086,-7.971130343977826,74.571,1.891,21.498,70.699,69.362,76.556,21.344,61.738,48.876,21.413,37.688,28.4,25.19,1579.627,1555.374,1243.653,1868.106,0.71,0.164,0.311,0.527,0.415,0.288,0.398,0.764,0.342,0.448,0.297,1.266,3.847,54.24,7.349,2.524,55.669,52.835,5.89,8.809,15.947,8.083,0.397,2.872,161.09,1.03,92.372,4.916,187.0,0.834,0.753,37.433,0.248
FSM,0.0,-1.8539492250220757,2.6899224970318336,0.1,57.908225597232146,22.8,47.17637540585103,78.72220362408409,6.455382097848867,4.559954560015486,22.0,3.0,28.262177086441415,28.386915420033908,16.1,21.819861565718302,-0.5857231734726653,80.84037274244776,9.084549056456332,29.354820886824164,63.17168084605426,58.22286282889118,39.664897393427744,41.55134548364424,40.67315082382139,36.5901523160034,30.555335475842465,24.00213470025619,26.4,0.391,3468.568,3982.737,2640.1031393085887,5676.171121941858,0.4540545453572745,0.4658120330363128,0.618,0.737,0.557,0.581,0.62,0.9287809399915495,0.5936414067603595,0.636838818776041,0.41,7.522759183414928,8.12607422688405,67.88,11.549,7.805,69.596,66.232,11.66527783121842,11.420110531020807,0.114,0.073,0.005,0.012,13.924,1.06,48.876,6.51,136.0,1.9382816591222878,1.590908347027649,23.36389239915282,0.48200958585646203
GIN,11.755,4.3608976182706645,19.596224112352083,22.807,89.374,36.5,62.699,60.205,0.209,1.8077599616412492,53.0,38.0,30.624,50.124,31.3,5.316,0.30131621470678027,108.721,4.296,22.344,61.534,58.89,61.742,32.102,63.533,52.745,30.624,34.382,17.838,32.746,2564.042,2405.181,2266.284,2553.971,0.6173237141680372,0.176,0.44,0.64,0.48,0.354,0.477,0.817,0.428,0.524,0.395,1.525,4.234,61.6,9.409,2.774,62.117,60.855,8.011,10.806,12.771,6.846,0.376,2.06,135.294,1.02,81.05,5.488,178.0,0.607,0.676,33.087,0.313
GNB,50.287295410170564,43.58817454424641,57.20976101627036,13.725,75.74,43.8,65.835,78.653,9.773,1.590018757713878,14.0,15.0,11.291,41.9,32.3,3.909,15.6662772896438,57.009,2.466,17.712,71.964,70.19,68.138,24.859,78.913,44.046,11.3,37.5,37.9,3.821,1989.367,1996.043,1647.005,2361.138,0.6507204595194116,0.24,0.399,0.59,0.452,0.414,0.48,0.8936108917876654,0.4466798433729341,0.5052116232663078,0.281,3.0807068817881174,4.143121153308928,58.32,10.624,3.563,60.213,56.305,10.5636415928415,10.551935713241587,1.921,1.056,0.055,0.302,104.823,1.03,76.667,5.207,175.0,0.819,0.787,37.367,0.3
GTM,38.113,38.602,37.549,19.375,37.543,51.4,39.914,86.345,13.891,1.26,10.0,8.0,14.225,30.8,14.6,4.985,-2.475,45.866,2.459,27.554,62.35,60.817,31.49,49.964,12.902,43.083,14.517,27.451,35.4,143.418,8637.555,8494.085,5450.89,11629.2,0.479,0.359,0.713,0.835,0.671,0.519,0.663,0.941,0.639,0.679,0.433,6.557,6.685,74.3,10.753,6.623,77.151,71.382,10.608,10.898,17.581,10.762,0.867,2.056,70.93,1.05,55.315,8.052,127.0,1.716,2.028,26.933,0.481
